ITEM: TIMESTEP
100000
ITEM: NUMBER OF ATOMS
15812
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 4.0459931049461368e+01
0.0000000000000000e+00 4.0459931049461368e+01
0.0000000000000000e+00 4.0459931049461368e+01
ITEM: ATOMS id vx vy vz
11347 -2.27828 -0.632959 1.04311
6396 -0.313003 1.56294 -0.133469
15585 1.02081 -1.20908 -0.526161
2922 -1.32079 3.3399 0.430493
2849 -0.457754 1.5411 -1.36949
15365 1.35147 -1.19332 -0.187931
11129 1.84148 -1.16378 2.1061
5081 -1.24864 0.450014 2.39164
13457 -0.0320043 1.96084 2.69582
11217 0.948688 0.114765 0.0626184
7717 -1.94747 -0.358732 -1.33406
7620 1.43197 -0.0240505 -0.642957
428 -0.725846 -2.78059 -0.0739614
6990 1.83741 0.406816 -1.09916
11542 0.12433 1.58645 -1.08259
2506 -0.193359 -2.60599 -0.0864468
8694 0.672989 -0.06628 -1.83145
8697 -1.29184 1.38485 0.475595
13718 -0.148237 0.22336 0.886197
7414 0.405841 1.32543 -0.46498
10931 2.63883 -2.28145 0.630423
8101 0.607981 2.89914 -1.83529
13872 -0.0165266 -0.797931 0.929667
13185 -2.15895 -0.143406 2.96559
8079 0.669714 1.73558 -2.34986
9063 -1.39671 -1.57107 -0.190634
13188 0.349375 -1.75235 0.101432
12074 -0.837338 -2.18139 -3.27777
14968 0.843529 1.18673 -0.729653
10210 2.2641 0.750395 -2.24811
4135 3.05903 -0.339505 1.22685
15158 1.68433 2.31237 -0.333117
8404 -1.18422 -2.36888 -2.29696
5296 -1.78859 2.0626 0.804945
14837 0.076807 0.446565 1.35856
9573 -1.08822 2.0263 0.762625
8224 -2.87243 2.53199 1.5519
12149 -1.40596 -0.656511 0.948216
2536 -0.556235 1.73981 -3.77028
10344 1.7374 -1.12616 3.18093
7869 -1.8059 -0.473684 2.04364
12082 1.66887 0.664053 -0.118929
9216 0.625144 -0.532544 -0.728047
4305 3.26187 0.08668 -1.02297
6706 2.71769 2.62432 -0.199511
893 -1.20532 0.0438092 5.23293
571 0.760056 -0.950754 -2.43689
11363 -0.767208 0.731352 -1.50337
10111 2.37397 2.90319 1.8173
